id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65608,-122.33602,Entire home/apt,130,30,97,9/28/2020,0.69,2,82,0,STR -OPLI-19-002622
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65444,-122.33629,Entire home/apt,99,30,159,9/3/2022,0.97,2,141,2,str-opli-19-002622
844939,"Five Star Downtown Designer Urban Suite, Space Needle View",4411144,Emma,Downtown,Belltown,47.61503,-122.3475,Entire home/apt,133,2,185,12/12/2022,1.54,2,154,43,STR-OPLI-19-000420
9909,Luna Lower - Friendly West Seattle Location,33360,Laura,West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,250,3,81,5/25/2022,0.51,10,364,3,STR-OPLI-19-000033
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55017,-122.31937,Private room,56,2,174,10/16/2022,1.15,9,363,20,STR-OPLI-19-003039
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55495,-122.38663,Entire home/apt,176,3,70,11/30/2022,0.53,2,251,15,STR-OPLI-19-002182
846763,Right at Home in Ravenna,4421734,Tara,Other neighborhoods,Ravenna,47.67995,-122.30859,Private room,60,30,75,12/11/2022,0.62,1,237,2,
25002,Beautiful Private  Spot in North Ballard,102684,Amanda,Ballard,Whittier Heights,47.67947,-122.37196,Entire home/apt,86,2,961,12/11/2022,6.23,1,150,70,STR-OPLI-19-002617
877203,In Jimi Hendrix's neighborhood 2,287172,Laura,Central Area,Atlantic,47.60029,-122.30185,Private room,53,30,102,10/23/2022,0.86,2,277,3,STR-OPLI-19-002301
879181,In Jimi Hendrix's neighborhood 3,287172,Laura,Central Area,Atlantic,47.60096,-122.3019,Private room,53,30,99,12/16/2022,0.82,2,215,5,STR-OPLI-19-002301
902609,Entire guest suite in West Seattle,3264544,Fabio,Delridge,Highland Park,47.52383,-122.35287,Entire home/apt,63,2,231,11/21/2022,1.94,5,340,23,STR-OPLI-19-002360
9534,The Coolest Tangerine Dream MIL!,31481,Cassie,West Seattle,Fairmount Park,47.55627,-122.38607,Entire home/apt,129,3,71,11/26/2022,0.53,2,239,12,STR-OPLI-19-002182
1764100,Center UW Chic Clean & Comfy 309,3074414,Melissa,University District,University District,47.66316,-122.31276,Entire home/apt,110,30,52,8/6/2022,0.47,119,365,1,STR-OPLI-19-002641
1773803,View Emerald City Jewel Apt UW 1BD Great Location,8026420,Sheldon,University District,University District,47.6568,-122.31299,Entire home/apt,92,30,304,12/8/2019,2.72,2,365,0,
904057,Seattle Mini Home with Hot Tub and Private Deck,4678869,Errin,Ballard,West Woodland,47.66617,-122.36693,Entire home/apt,95,3,487,12/5/2022,4.06,1,305,40,STR-OPLI-19-000380
1775016,Master Suite A in Capitol Hill Home,8315334,Robert,Capitol Hill,Broadway,47.62543,-122.32496,Private room,77,1,397,12/5/2022,3.96,3,325,40,STR-OPLI-19-001755
68508,"Private Entry 180º Views City, Mountains & Lake",340192,Angela,Cascade,Eastlake,47.63815,-122.32344,Entire home/apt,195,30,1,11/1/2021,0.07,2,215,0,STR-OPLI-19-002747
1802663,Urban Oasis Within Wallingford home,9450725,Ron,Other neighborhoods,Wallingford,47.65428,-122.33766,Entire home/apt,114,2,318,12/18/2022,2.85,1,171,46,STR-OPLI-19-003318
1807936,JazzBb,3464851,Ev,Northgate,Maple Leaf,47.70265,-122.31618,Private room,60,30,26,11/10/2019,0.38,1,362,0,
942490,Charming Greenwood neighborhood flat,4705328,Lisa,Other neighborhoods,Greenwood,47.68726,-122.36279,Private room,129,2,132,9/19/2022,1.11,1,359,6,STR-OPLI-20-000322
948077,THE COTTAGE a Capitol Hill oasis - Free parking,365687,Erik,Capitol Hill,Broadway,47.62845,-122.32513,Entire home/apt,160,2,466,12/7/2022,3.93,1,315,70,STR-OPLI-21-000042
993804,Spacious bedroom across Children's,3169976,Valerie,Other neighborhoods,Laurelhurst,47.66308,-122.2838,Private room,78,30,5,9/26/2022,0.04,2,87,1,
1000883,Westside Hideaway,5486919,Nicole,West Seattle,North Admiral,47.58246,-122.39668,Entire home/apt,111,2,221,10/22/2022,1.91,1,79,25,STR-OPLI-19-003112
1012003,Capitol Hill Gem in Great Location,5567436,Larry & Suzi,Capitol Hill,Broadway,47.63948,-122.32236,Private room,145,30,36,10/20/2019,0.31,1,357,0,STR-OPLI-19-000062
1022135,"Contemporary, Cozy, and Warm Home",5387574,Sara,Northgate,Haller Lake,47.70662,-122.34358,Private room,82,30,9,11/20/2018,0.08,1,173,0,
1023693,"Get Cozy at a Hip, Vintage-Style Retreat",5635244,Shannon,Ballard,Whittier Heights,47.67936,-122.3704,Entire home/apt,96,1,344,12/20/2022,3.01,2,295,42,STR-OPLI-19-001088
1820794,"Cozy Suite, Covered Backyard Patio, Walk to Climate Pledge",9533123,Pam,Queen Anne,East Queen Anne,47.63089,-122.34815,Entire home/apt,140,2,550,12/6/2022,5.04,1,312,73,STR-OPLI-19-002846
1851863,Perfect Home away from home near Green Lake Park,9671138,Susanna,Other neighborhoods,Greenwood,47.69674,-122.34621,Entire home/apt,82,30,44,11/25/2019,0.4,1,357,0,
1900698,Glam Room in Diverse Neighborhood,3118422,Julie,Rainier Valley,Columbia City,47.55306,-122.28104,Private room,35,30,203,10/1/2022,1.84,1,237,2,
1905473,Central District Bungalow -,9890727,Stephen,Central Area,Mann,47.60728,-122.29714,Private room,75,30,7,9/6/2016,0.07,1,0,0,
1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,Queen Anne,West Queen Anne,47.63812,-122.37077,Private room,100,3,168,12/5/2022,1.55,1,339,17,STR-OPLI-19-001496
1925661,Large 1BD w/bath/walkin closet; parking included,9975709,Bea,Beacon Hill,North Beacon Hill,47.57943,-122.30387,Private room,45,30,105,2/29/2020,1.01,1,211,0,825676
1042022,Perfect Location by Lake Washington,5736221,Lene & Johnny,Capitol Hill,Madison Park,47.63326,-122.28009,Entire home/apt,89,2,340,12/7/2022,2.9,1,327,37,STR-OPLI-19-002937
1043194,Bright CityView next to Convention Ctr,3294357,Grace,Downtown,First Hill,47.61107,-122.32888,Entire home/apt,175,30,50,8/22/2020,0.44,4,358,0,STR-OPLI-19-002980
1048798,"West Seattle Home, Dazzling View, Quiet & Tranquil",5774906,Carter,West Seattle,Fauntleroy,47.52586,-122.38272,Entire home/apt,170,2,421,12/20/2022,3.58,1,255,57,STR-OPLI-19-000502
1928010,Master Suite B in Capitol Hill Home,8315334,Robert,Capitol Hill,Broadway,47.62543,-122.32496,Private room,84,1,488,12/4/2022,4.45,3,286,28,STR-OPLI-19-001755
116221,"Modern, Light-Filled Fremont Flat",587302,Danni,Other neighborhoods,Fremont,47.65474,-122.35546,Entire home/apt,75,90,48,3/26/2022,0.34,1,0,1,
1935439,Sunny Private Room by Carkeek Park,10014839,Timothy,Other neighborhoods,Greenwood,47.70407,-122.36123,Private room,35,31,18,12/13/2022,0.17,1,96,2,
1976382,Modern luxury on Capitol Hill,1121532,Melissa,Capitol Hill,Broadway,47.62372,-122.32417,Entire home/apt,81,30,95,10/30/2022,0.88,10,339,2,STR-OPLI-19-002118
1983713,Private  Retreat in the City,10235544,Scott (Aka Skip),Central Area,Leschi,47.59181,-122.29372,Entire home/apt,106,15,52,2/28/2022,0.49,2,325,2,STR-OPLI-19-002543
1984692,Sunny Green Lake home with a view,5525120,Esther,Other neighborhoods,Greenwood,47.68448,-122.34495,Entire home/apt,359,2,18,9/19/2022,0.17,1,13,11,STR-OPLI-21-000824
1090449,Comfy 1 Bdrm Capitol Hill Apartment,2739131,Chad & Ruben,Capitol Hill,Broadway,47.61769,-122.32645,Entire home/apt,95,2,447,11/27/2022,3.81,1,55,48,STR-OPLI-19-001302
1097520,Relaxed sophistication in Mt. Baker,6031552,Jeanie,Rainier Valley,Mount Baker,47.56692,-122.28106,Entire home/apt,121,3,307,12/12/2022,2.63,1,352,34,STR-OPLI-19-003217
1100686,Tree top room in artsy Fremont - high ceilings,3921530,Ann Petrich,Other neighborhoods,Fremont,47.65417,-122.35402,Private room,78,4,357,11/16/2022,3.42,3,89,21,STR-OPLI-19-001657
